Country,Date,log_share,log_price,TAVG,share,q_imported
brazil,2019-04,-2.666033034384726,-3.002053566135739,23.24,0.0695274921319543,2469093.843058
brazil,2019-05,-2.5642660525656025,-2.623745902358218,26.54,0.0769756568001466,1686032.344828
brazil,2019-06,-2.7454670229369977,-2.584852185730658,28.45,0.0642183025198203,1324672.679045
brazil,2019-07,-2.627134402812082,-2.6079017245111165,28.62,0.0722853063018054,1339204.95251
brazil,2019-08,-2.348017883909132,-2.864447500203094,28.42,0.0955583824328178,2096603.263158
brazil,2019-09,-2.2687114443643503,-2.602658074987004,27.81,0.1034453893803414,1808021.025641
brazil,2019-10,-2.3097024633675063,-2.016714196199121,27.27,0.09929078981231,1017600.555973
brazil,2019-11,-2.240864823703121,-2.6524703906832987,20.53,0.106366476341017,1975216.595745
brazil,2019-12,-2.346387418967096,-2.8108610186968,19.72,0.0957143141113155,2484819.119601
brazil,2020-01,-2.6899392652191336,-2.483359133983192,18.64,0.0678850622309384,1488358.203593
brazil,2020-02,-3.113979227774016,-2.206679209716364,19.73,0.0444238306235527,685454.904632
brazil,2020-03,-2.8212828189684864,-1.9340646377894128,23.33,0.0595295280985328,762546.832642
brazil,2020-04,-2.6849152692540743,-2.7123947016318377,24.24,0.0682269746738704,1526036.581325
brazil,2020-05,-2.435025106011183,-2.516389455779123,25.55,0.0875955478456473,1607559.220297
brazil,2020-06,-2.7973633717221498,-2.5505306838200803,28.06,0.0609706077117644,1228957.051282
brazil,2020-07,-2.8319919299246976,-3.19290687975186,28.73,0.058895421197738,1680438.248175
brazil,2020-08,-2.950899840028477,-2.538082712632037,28.97,0.0522926297696328,838559.481013
brazil,2020-09,-2.4277182853243904,-2.1062542362943546,27.94,0.0882379368593104,957678.31553
brazil,2020-10,-2.2809081045272457,-2.327002581902329,26.32,0.1021913641261214,1559470.491803
brazil,2020-11,-2.282346197061651,-2.1168594466816826,22.37,0.1020445091091521,1208232.591362
brazil,2020-12,-2.222483226722624,-2.7659404775605707,15.23,0.1083397423710105,2766053.863275
brazil,2021-01,-2.7160319518659564,-2.7988807277147814,15.74,0.0661366679218024,1908207.520525
brazil,2021-02,-2.648783724344816,-2.5453977647796995,19.52,0.0707371966901822,1709642.920918
brazil,2021-03,-2.850116220300522,-2.307039720642685,20.77,0.0578375985811239,1274193.403614
brazil,2021-04,-2.782333613810429,-2.187736141585479,22.11,0.0618939022516469,1025495.561497
brazil,2021-05,-2.626357995698894,-2.359109512517876,25.81,0.0723414509205174,1349482.349206
brazil,2021-06,-2.5486113661348004,-2.302445167745037,27.7,0.0781901681642672,1358835.78
brazil,2021-07,-2.58700028596454,-2.5941836541647465,28.47,0.0752454166160827,1454257.309237
brazil,2021-08,-2.5503339119851245,-1.8960000172415792,29.34,0.0780555979495165,774302.117177
brazil,2021-09,-2.4078859320865846,-2.2768685667657227,28.13,0.0900053710511372,1327976.072125
brazil,2021-10,-2.2043597341942296,-1.976920236555517,26.01,0.1103211375487964,1436205.581227
brazil,2021-11,-2.372207029906148,-1.847245449128311,19.89,0.0932746390235353,1049080.481928
brazil,2021-12,-2.192552750411536,-2.229964432621973,21.07,0.1116314174358312,1936738.12093
brazil,2022-01,-2.661336618561688,-2.371369018635823,16.11,0.0698547901082541,1725327.012848
brazil,2022-02,-2.473506627083439,-2.0385076276006293,19.45,0.0842887708828513,1449817.35023
brazil,2022-03,-2.5418903671542923,-2.2308073240563644,22.51,0.0787174541642479,1831482.802607
brazil,2022-04,-2.4027547205654005,-2.4944299361670983,23.68,0.0904683945679206,2573405.212121
brazil,2022-05,-2.643625203845112,-2.295070772470934,26.54,0.071103038760044,1489699.027778
brazil,2022-06,-2.2292366407449404,-2.6153561607738536,28.58,0.1076105442954355,3003539.658003
brazil,2022-07,-2.03067203217612,-2.2565374987315034,29.31,0.1312472891031211,2167168.127985
brazil,2022-08,-2.114803568045405,-2.204098361337332,29.25,0.1206569881135154,2063500.915684
brazil,2022-09,-2.2095756370162776,-2.161030456492843,28.03,0.1097472112890917,1617220.321181
brazil,2022-10,-1.7916537608626688,-2.199088135862514,24.26,0.1666842856587853,2942021.641118
brazil,2022-11,-2.0492283701475333,-1.9421841821391657,22.64,0.1288342776175202,1664805.662483
brazil,2022-12,-1.8788996338269304,-2.3997455217967767,17.88,0.1527581031599826,3421849.305402
brazil,2023-01,-2.3662818488198685,-2.5118965839967453,17.98,0.0938289487214622,2786323.033292
brazil,2023-02,-2.456892643407407,-2.841393956932421,21.11,0.085700840718638,3223755.111492
brazil,2023-03,-2.3836554273963504,-2.83387959131834,22.16,0.092212883178347,3983126.717687
brazil,2023-04,-2.557720704082289,-2.8361884057108417,24.65,0.0774811417816671,2755840.989761
brazil,2023-05,-2.4345706964024654,-2.639687377334264,25.67,0.0876353611493581,2440125.994398
