DATE,TAVG,TMIN,TMAX,PRCP,TAVG_anom,TMIN_anom,TMAX_anom,PRCP_anom
2012-10-01,24.08,19.26,28.89,56.4,-0.4200000000000017,-0.1739999999999995,-0.6780000000000008,-12.529999999999994
2012-11-01,18.15,12.18,24.12,5.8,-2.3599999999999994,-2.7889999999999997,-1.9259999999999984,-30.360000000000003
2012-12-01,18.34,12.17,24.5,32.5,-0.13400000000000034,-0.5459999999999994,0.2710000000000008,-18.490000000000002
2013-01-01,19.0,12.85,25.14,6.2,3.282,3.1869999999999994,3.3669999999999973,-68.76
2013-02-01,18.39,11.64,25.14,17.0,0.05000000000000071,-0.5749999999999993,0.6729999999999983,-33.519999999999996
2013-03-01,16.43,9.21,23.64,32.3,-3.3679999999999986,-4.259999999999998,-2.4849999999999994,-39.540000000000006
2013-04-01,23.46,17.54,29.38,92.6,0.17600000000000193,0.4759999999999991,-0.12500000000000355,31.630000000000003
2013-05-01,24.22,18.53,29.91,128.4,-1.333000000000002,-1.2079999999999984,-1.4599999999999973,27.620000000000005
2013-06-01,27.6,22.79,32.4,256.6,-0.15399999999999991,0.2259999999999991,-0.5429999999999993,70.15000000000003
2013-07-01,27.68,23.08,32.28,217.7,-0.7680000000000007,-0.3860000000000028,-1.1509999999999962,32.78999999999999
2013-08-01,28.57,23.76,33.39,153.7,0.08100000000000307,-0.0019999999999988916,0.17099999999999937,-49.21000000000001
2013-09-01,27.35,22.84,31.85,146.9,-0.22099999999999653,-0.12399999999999878,-0.32399999999999807,-25.079999999999984
2013-10-01,24.89,19.64,30.14,3.8,0.39000000000000057,0.20599999999999952,0.5719999999999992,-65.13
2013-11-01,21.55,16.69,26.41,23.5,1.0400000000000027,1.7210000000000019,0.36400000000000077,-12.660000000000004
2013-12-01,20.01,14.11,25.92,7.0,1.5360000000000014,1.3940000000000001,1.6910000000000025,-43.99
2014-01-01,14.8,8.92,20.69,74.4,-0.9179999999999993,-0.7430000000000003,-1.083000000000002,-0.5600000000000023
2014-02-01,18.79,12.67,24.92,53.9,0.4499999999999993,0.45500000000000007,0.4529999999999994,3.3800000000000026
2014-03-01,19.44,13.53,25.35,115.0,-0.357999999999997,0.0600000000000005,-0.7749999999999986,43.16
2014-04-01,23.09,17.1,29.08,106.8,-0.19399999999999906,0.036000000000001364,-0.42500000000000426,45.830000000000005
2014-05-01,25.6,19.88,31.33,91.3,0.0470000000000006,0.14199999999999946,-0.03999999999999915,-9.480000000000004
2014-06-01,27.54,22.17,32.91,118.0,-0.2140000000000022,-0.39399999999999835,-0.03300000000000125,-68.44999999999999
2014-07-01,28.38,23.53,33.23,223.4,-0.06800000000000139,0.06400000000000006,-0.2010000000000005,38.49000000000001
2014-08-01,28.78,23.55,34.0,178.2,0.2910000000000039,-0.21199999999999974,0.7809999999999988,-24.710000000000008
2014-09-01,27.05,22.5,31.59,265.5,-0.5209999999999972,-0.46399999999999864,-0.5839999999999996,93.52000000000001
2014-10-01,23.94,18.18,29.7,17.6,-0.5599999999999987,-1.2540000000000013,0.1319999999999979,-51.32999999999999
2014-11-01,18.49,12.72,24.26,122.8,-2.0199999999999996,-2.2489999999999988,-1.7859999999999978,86.63999999999999
2014-12-01,18.37,12.98,23.76,40.5,-0.1039999999999992,0.2640000000000011,-0.46899999999999764,-10.490000000000002
2015-01-01,16.65,11.02,22.27,89.4,0.9319999999999986,1.3569999999999993,0.49699999999999633,14.439999999999998
2015-02-01,15.62,9.85,21.39,116.2,-2.7200000000000006,-2.365,-3.0770000000000017,65.68
2015-03-01,22.74,16.84,28.64,19.2,2.942,3.370000000000001,2.5150000000000006,-52.64
2015-04-01,25.33,20.0,30.67,107.0,2.0459999999999994,2.936,1.1649999999999991,46.03000000000001
2015-05-01,26.32,20.7,31.94,23.7,0.7669999999999995,0.9619999999999997,0.5700000000000038,-77.08
2015-06-01,28.34,22.76,33.91,172.4,0.5859999999999985,0.1960000000000015,0.9669999999999987,-14.049999999999983
2015-07-01,28.63,23.59,33.68,188.6,0.1819999999999986,0.12399999999999878,0.24900000000000233,3.6899999999999977
