DATE,TAVG,TMIN,TMAX,PRCP,TAVG_anom,TMIN_anom,TMAX_anom,PRCP_anom
2015-09-01,15.25,7.48,23.02,12.0,-1.3279999999999994,-1.5060000000000002,-1.1479999999999997,-6.27
2015-10-01,12.86,6.18,19.54,33.0,3.100999999999999,2.2659999999999996,3.933,-14.130000000000003
2015-11-01,2.81,-1.08,6.7,18.5,-0.7729999999999997,-0.743,-0.7999999999999998,-28.410000000000004
2015-12-01,0.95,-1.68,3.57,89.4,1.016,1.3029999999999997,0.722,37.59
2016-01-01,0.77,-2.01,3.54,59.1,0.7929999999999999,1.0940000000000003,0.4849999999999999,12.399999999999999
2016-02-01,4.64,0.09,9.2,20.5,3.5849999999999995,3.133,4.043999999999999,-17.71
2016-03-01,6.71,1.38,12.04,81.8,1.2539999999999996,1.353,1.154,24.039999999999992
2016-04-01,12.95,5.59,20.31,16.5,3.8810000000000002,2.645,5.118,-23.4
2016-05-01,15.45,8.67,22.24,41.7,1.174999999999999,1.436,0.9259999999999984,5.630000000000003
2016-06-01,18.56,10.91,26.2,20.5,0.9199999999999982,0.22100000000000009,1.6119999999999983,-23.159999999999997
2016-07-01,20.86,13.23,28.49,33.4,-1.347999999999999,-0.5280000000000005,-2.1679999999999993,22.049999999999997
2016-08-01,21.56,12.8,30.33,1.8,-0.3730000000000011,-0.536999999999999,-0.20000000000000284,-8.54
2016-09-01,15.99,8.61,23.36,9.3,-0.5879999999999992,-0.3760000000000012,-0.8079999999999998,-8.969999999999999
2016-10-01,10.01,5.97,14.05,158.2,0.25099999999999945,2.0559999999999996,-1.5569999999999986,111.07
2016-11-01,7.29,3.28,11.3,40.0,3.7070000000000003,3.617,3.8000000000000007,-6.910000000000004
2016-12-01,-3.32,-6.67,0.02,32.9,-3.254,-3.6870000000000003,-2.828,-18.910000000000004
2017-01-01,-4.7,-8.18,-1.23,37.1,-4.6770000000000005,-5.076,-4.285,-9.600000000000001
2017-02-01,-0.07,-3.88,3.75,102.5,-1.1250000000000002,-0.8369999999999997,-1.4060000000000006,64.28999999999999
2017-03-01,5.78,1.49,10.06,82.5,0.32399999999999984,1.463,-0.8259999999999987,24.739999999999995
2017-04-01,8.7,3.39,14.01,48.3,-0.3689999999999998,0.4450000000000003,-1.1819999999999986,8.399999999999999
2017-05-01,14.21,7.01,21.4,35.8,-0.0649999999999995,-0.2240000000000002,0.08599999999999852,-0.2700000000000031
2017-06-01,18.22,10.55,25.88,25.6,0.5799999999999983,-0.13899999999999935,1.291999999999998,-18.059999999999995
2017-07-01,23.75,14.42,33.08,0.0,1.5420000000000016,0.661999999999999,2.4220000000000006,-11.35
2017-08-01,22.87,13.42,32.32,0.8,0.9370000000000012,0.08300000000000018,1.7899999999999991,-9.54
2017-09-01,16.89,9.41,24.38,32.9,0.31200000000000117,0.4239999999999995,0.21199999999999974,14.629999999999999
2017-10-01,8.92,2.82,15.02,37.3,-0.8390000000000004,-1.0940000000000003,-0.5869999999999997,-9.830000000000005
2017-11-01,4.22,0.59,7.84,69.8,0.637,0.927,0.33999999999999986,22.889999999999993
2017-12-01,-1.65,-4.2,0.91,68.1,-1.5839999999999999,-1.2170000000000005,-1.9379999999999997,16.289999999999992
2018-01-01,2.1,-0.77,4.97,54.6,2.123,2.334,1.9149999999999996,7.899999999999999
2018-02-01,0.31,-3.79,4.42,41.7,-0.7450000000000001,-0.7469999999999999,-0.7360000000000007,3.490000000000002
2018-03-01,4.89,-0.8,10.59,31.0,-0.5660000000000007,-0.8270000000000001,-0.2959999999999994,-26.760000000000005
2018-04-01,8.78,2.92,14.64,67.8,-0.2889999999999997,-0.02499999999999991,-0.5519999999999978,27.9
2018-05-01,16.98,9.73,24.23,19.3,2.705,2.4960000000000004,2.9160000000000004,-16.77
2018-06-01,17.67,10.52,24.82,21.3,0.030000000000001137,-0.16900000000000048,0.23199999999999932,-22.359999999999996
2018-07-01,22.75,13.4,32.11,0.8,0.5420000000000016,-0.35800000000000054,1.4520000000000017,-10.549999999999999
2018-08-01,21.78,13.38,30.18,8.9,-0.1529999999999987,0.04300000000000104,-0.3500000000000014,-1.4399999999999995
2018-09-01,15.69,8.43,22.95,3.8,-0.8879999999999999,-0.5560000000000009,-1.218,-14.469999999999999
2018-10-01,9.26,2.72,15.8,48.0,-0.49900000000000055,-1.194,0.1930000000000014,0.8699999999999974
2018-11-01,3.91,0.24,7.58,58.2,0.3270000000000004,0.5770000000000001,0.08000000000000007,11.29
2018-12-01,1.27,-1.55,4.09,52.1,1.336,1.4329999999999996,1.242,0.28999999999999915
2019-01-01,0.73,-2.35,3.82,38.9,0.7529999999999999,0.754,0.7649999999999997,-7.800000000000004
2019-02-01,-4.33,-8.11,-0.55,44.8,-5.385,-5.066999999999999,-5.706,6.589999999999996
2019-03-01,2.79,-3.36,8.95,16.2,-2.6660000000000004,-3.387,-1.936,-41.56
2019-04-01,9.5,3.64,15.36,34.9,0.43100000000000094,0.6950000000000003,0.16800000000000104,-5.0
2019-05-01,15.48,8.36,22.6,73.2,1.205,1.1259999999999994,1.2860000000000014,37.13
2019-06-01,18.57,11.46,25.68,25.7,0.9299999999999997,0.7710000000000008,1.0919999999999987,-17.959999999999997
2019-07-01,21.11,13.37,28.85,11.2,-1.097999999999999,-0.3880000000000017,-1.8079999999999963,-0.15000000000000036
2019-08-01,22.03,13.7,30.36,13.2,0.09700000000000131,0.36299999999999955,-0.1700000000000017,2.8599999999999994
2019-09-01,15.84,9.85,21.83,40.6,-0.7379999999999995,0.863999999999999,-2.338000000000001,22.330000000000002
2019-10-01,6.52,1.01,12.04,40.9,-3.2390000000000008,-2.904,-3.567,-6.230000000000004
2019-11-01,2.82,-1.55,7.18,17.6,-0.7629999999999999,-1.213,-0.3200000000000003,-29.310000000000002
2019-12-01,2.41,-0.23,5.05,52.9,2.476,2.7529999999999997,2.202,1.0899999999999963
2020-01-01,2.3,-0.68,5.28,70.0,2.323,2.424,2.225,23.299999999999997
2020-02-01,2.57,-2.4,7.54,18.9,1.5149999999999997,0.6430000000000002,2.3839999999999995,-19.310000000000002
